Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Clay County, Arkansas",14889,22505,6391,42.8%
"Cleburne County, Arkansas",25100,27227,10314,49.4%
"Cleveland County, Arkansas",8128,24225,3061,42.9%
"Columbia County, Arkansas",23776,21189,8944,35.7%
"Conway County, Arkansas",20858,25158,8927,42.5%
"Craighead County, Arkansas",107345,26948,49761,34.2%
"Crawford County, Arkansas",62739,24547,26041,38.6%
"Crittenden County, Arkansas",48672,23172,20601,35.2%
"Cross County, Arkansas",16824,25380,7622,40.9%
"Dallas County, Arkansas",7279,20517,2952,43.9%
"Desha County, Arkansas",11709,19235,4563,40.1%
"Drew County, Arkansas",18417,25543,7919,37.4%
"Faulkner County, Arkansas",123624,26913,58112,32.8%
"Franklin County, Arkansas",17738,20480,6681,41.2%
"Fulton County, Arkansas",12231,19697,4077,48.4%
"Garland County, Arkansas",98555,27171,41221,45%
"Grant County, Arkansas",18126,28153,7760,41%
"Greene County, Arkansas",44937,23494,18761,38%
"Hempstead County, Arkansas",21842,21521,9218,40.4%
"Hot Spring County, Arkansas",33597,21866,13127,41.3%
"Howard County, Arkansas",13311,24481,5601,39.2%
"Independence County, Arkansas",37427,23733,15902,39.3%
"Izard County, Arkansas",13570,21164,4725,47.9%
"Jackson County, Arkansas",17027,20295,5542,39.7%
"Jefferson County, Arkansas",69282,21472,26139,38.7%
"Johnson County, Arkansas",26372,21010,10448,38.4%
"Lafayette County, Arkansas",6800,25876,2511,47%
"Lawrence County, Arkansas",16549,21473,6600,40.8%
"Lee County, Arkansas",9194,16968,2790,42.5%
"Lincoln County, Arkansas",13455,14764,3209,39%
"Little River County, Arkansas",12347,25759,4915,42.9%
"Logan County, Arkansas",21668,21491,9059,42%
"Lonoke County, Arkansas",72528,27293,32568,36.2%
"Madison County, Arkansas",16211,24356,6674,42.7%
"Marion County, Arkansas",16476,21395,5744,52.2%
"Miller County, Arkansas",43572,23729,17792,39.5%
"Mississippi County, Arkansas",42126,22750,17365,36.6%
"Monroe County, Arkansas",7050,23538,2978,47.3%
"Montgomery County, Arkansas",8950,22631,3262,50.4%
"Nevada County, Arkansas",8351,19912,3204,44.3%
"Newton County, Arkansas",7812,19735,2878,49%
"Ouachita County, Arkansas",23830,21562,9487,43%
"Perry County, Arkansas",10355,23164,3793,43.7%
"Phillips County, Arkansas",18606,18651,6708,38.9%
"Pike County, Arkansas",10756,23362,4609,43.1%
"Poinsett County, Arkansas",23896,20963,9802,40.1%
"Polk County, Arkansas",20094,23103,7211,43.9%
"Pope County, Arkansas",63761,23391,26754,35.3%
"Prairie County, Arkansas",8189,25789,3450,47.2%
"Pulaski County, Arkansas",392967,32692,184202,37.2%
"Randolph County, Arkansas",17695,23248,6976,41.1%
"St. Francis County, Arkansas",25900,18447,8542,38.8%
"Saline County, Arkansas",119415,30553,57691,39.6%
"Scott County, Arkansas",10376,18281,3758,40.7%
"Searcy County, Arkansas",7908,20410,3097,47.9%
"Sebastian County, Arkansas",127591,25961,57296,37.6%
"Sevier County, Arkansas",17081,22320,7338,35.3%
"Sharp County, Arkansas",17139,21423,5957,47.6%
"Stone County, Arkansas",12475,20695,4526,50.1%
"Union County, Arkansas",39449,25193,15590,40.3%
"Van Buren County, Arkansas",16642,22168,5670,48%
"Washington County, Arkansas",232289,27790,111363,32%
"White County, Arkansas",78762,23702,32213,36.9%
"Woodruff County, Arkansas",6533,23423,2653,45.5%
"Yell County, Arkansas",21464,22015,9103,40.3%
"Alameda County, California",1656754,47314,862449,37.6%
"Alpine County, California",1039,36739,343,52.2%
"Amador County, California",38429,31987,13665,50.5%
"Butte County, California",225817,29506,96095,37.1%
"Calaveras County, California",45514,33456,17223,52%
"Colusa County, California",21454,26932,9692,35.3%
"Contra Costa County, California",1142251,48178,559366,39.7%
"Del Norte County, California",27495,23674,9015,39.5%
"El Dorado County, California",188563,42749,85101,45.9%
"Fresno County, California",984521,24422,407511,32.2%
"Glenn County, California",27976,22668,11279,36.4%
"Humboldt County, California",135940,28769,62030,38.4%
"Imperial County, California",180701,18018,60074,32.4%
"Inyo County, California",17977,32590,8238,45.8%
"Kern County, California",887641,23326,343445,31.6%
"Kings County, California",150691,22373,54408,31.8%
"Lake County, California",64195,27362,24304,45.6%
"Lassen County, California",30818,22134,8611,36.6%
"Los Angeles County, California",10081570,34156,4929863,36.5%
"Madera County, California",155433,22853,58268,34.1%
"Marin County, California",259943,72466,130747,46.8%
"Mariposa County, California",17420,28757,7038,51.7%
"Mendocino County, California",87224,29035,37689,43.1%
"Merced County, California",271382,23011,104983,31.1%
"Modoc County, California",8907,22843,2957,47.8%
"Mono County, California",14310,34552,8328,37.7%
"Monterey County, California",433410,30073,187708,34.4%
"Napa County, California",139623,45195,71141,41.3%
"Nevada County, California",99244,39233,44059,50.5%
"Orange County, California",3168044,41514,1592151,38.1%
"Placer County, California",385512,43759,178325,42%
"Plumas County, California",18660,35198,7733,52.3%
"Riverside County, California",2411439,28596,1032734,35.6%
"Sacramento County, California",1524553,32751,704151,36.2%
"San Benito County, California",60376,33174,29347,35.7%
"San Bernardino County, California",2149031,25215,914514,33.3%
"San Diego County, California",3316073,38073,1588732,35.8%
"San Francisco County, California",874961,68883,523501,38.2%
"San Joaquin County, California",742603,27521,313129,34.3%
"San Luis Obispo County, California",282165,37233,131679,39.2%
"San Mateo County, California",767423,61545,414747,39.7%
"Santa Barbara County, California",444829,36039,213438,33.8%
"Santa Clara County, California",1927470,56248,999094,37.1%
"Santa Cruz County, California",273962,41312,136406,37.8%
"Shasta County, California",179212,29720,74134,41.5%
"Sierra County, California",3040,33747,1268,54.8%
"Siskiyou County, California",43468,28615,16538,47.8%
"Solano County, California",441829,35400,206978,38.1%
"Sonoma County, California",499772,42178,256074,42.1%
"Stanislaus County, California",543194,26258,228175,34.1%
"Sutter County, California",96109,27371,39045,35.7%
"Tehama County, California",63912,24301,24633,41%
"Trinity County, California",12700,26523,4465,52.5%
"Tulare County, California",461898,21380,178687,31%
"Tuolumne County, California",54045,34702,20993,48.4%
"Ventura County, California",847263,38595,415752,38.1%
"Yolo County, California",217352,34515,99367,31%
"Yuba County, California",76360,25583,29821,32.8%
"Adams County, Colorado",504108,30313,261893,33.8%
"Alamosa County, Colorado",16107,22131,6934,31.8%
"Arapahoe County, Colorado",644560,40443,347236,36.6%
"Archuleta County, Colorado",13253,31629,6088,50.9%
"Baca County, Colorado",3561,24061,1622,46%
"Bent County, Colorado",5787,13930,1454,40.2%
"Boulder County, Colorado",322510,46826,175849,36.6%
"Broomfield County, Colorado",67886,50863,38422,37.8%
"Chaffee County, Colorado",19557,29827,8364,49.2%
"Cheyenne County, Colorado",2026,29081,849,39.4%
"Clear Creek County, Colorado",9495,39203,5265,48.1%
"Conejos County, Colorado",8128,20640,3029,38.8%
"Costilla County, Colorado",3745,21732,1394,51.9%
"Crowley County, Colorado",5754,15517,1924,35.4%
"Custer County, Colorado",4776,29258,1725,59.7%
"Delta County, Colorado",30565,26499,11012,47.3%
"Denver County, Colorado",705576,43770,402046,34.5%
"Dolores County, Colorado",1857,26323,792,48.8%
"Douglas County, Colorado",336041,53313,182234,38.7%
"Eagle County, Colorado",54681,44391,34128,37%
"Elbert County, Colorado",25717,44690,13760,46.1%
"El Paso County, Colorado",698974,33728,323140,34.2%
"Fremont County, Colorado",47321,22692,14327,45.1%
"Garfield County, Colorado",59055,33393,31575,36.5%
"Gilpin County, Colorado",6018,49641,3848,49%
"Grand County, Colorado",15303,37876,8646,42.9%
"Gunnison County, Colorado",16802,32191,9747,34.5%
"Hinsdale County, Colorado",857,33570,384,56.1%
"Huerfano County, Colorado",6679,25140,2560,55%
"Jackson County, Colorado",1261,28199,641,51.6%
"Jefferson County, Colorado",574798,44119,316280,40.3%
"Kiowa County, Colorado",1489,25937,697,42.5%
"Kit Carson County, Colorado",7447,27797,3514,38.3%
"Lake County, Colorado",7751,29122,4249,36.7%
"La Plata County, Colorado",55617,39493,29339,40.4%
"Larimer County, Colorado",344786,37363,182498,36%
"Las Animas County, Colorado",14266,25813,5844,45.9%
"Lincoln County, Colorado",5585,16753,1499,38%
"Logan County, Colorado",22380,26727,11271,38.2%
"Mesa County, Colorado",151218,29596,70796,39.7%
"Mineral County, Colorado",824,33955,418,56.1%
"Moffat County, Colorado",13127,29100,6163,36.6%
"Montezuma County, Colorado",26031,26072,11212,45.2%
"Montrose County, Colorado",41686,28078,17659,45.2%
"Morgan County, Colorado",28517,25064,13632,36.2%
"Otero County, Colorado",18282,21110,7030,39.9%
"Ouray County, Colorado",4796,41160,2329,54.1%
"Park County, Colorado",17867,36500,8880,50.7%
"Phillips County, Colorado",4290,26494,1948,37.1%
"Pitkin County, Colorado",17926,54875,11937,41.8%
"Prowers County, Colorado",12022,23698,5494,38.3%
"Pueblo County, Colorado",165982,25051,68559,39.3%
"Rio Blanco County, Colorado",6384,26487,2806,36.9%
"Rio Grande County, Colorado",11305,24582,4614,42.1%
"Routt County, Colorado",25072,43769,14464,40.2%
"Saguache County, Colorado",6592,22511,2748,49%
"San Juan County, Colorado",589,34502,344,51.2%
"San Miguel County, Colorado",8049,47526,5100,41.8%
"Sedgwick County, Colorado",2322,27527,942,44.1%
"Summit County, Colorado",30649,41281,19805,39.1%
"Teller County, Colorado",24524,35703,11875,50%
"Washington County, Colorado",4868,27860,2284,41.6%
"Weld County, Colorado",305345,31793,152572,34.4%
"Yuma County, Colorado",10003,27955,4899,37.8%
"Fairfield County, Connecticut",943926,57263,477144,40.6%
"Hartford County, Connecticut",893561,40540,451120,40.4%
"Litchfield County, Connecticut",182002,44480,97180,47.3%
"Middlesex County, Connecticut",163053,46023,88260,45.7%
"New Haven County, Connecticut",857513,38009,430091,40.3%
"New London County, Connecticut",267390,39426,132898,41.4%
"Tolland County, Connecticut",151063,41371,79361,37.7%
"Windham County, Connecticut",116566,32732,59582,41.2%
"Kent County, Delaware",176699,28845,79883,37.7%
"New Castle County, Delaware",556165,37532,276420,38.4%
"Sussex County, Delaware",224384,35491,99317,49.6%
"District of Columbia, District of Columbia",692683,56147,376871,34%
"Alachua County, Florida",265443,28646,126034,31.6%
"Baker County, Florida",28211,24686,11039,37.7%
"Bay County, Florida",182161,29290,82767,39.8%
"Bradford County, Florida",27317,20529,9393,39.7%
"Brevard County, Florida",585507,32176,252483,47.3%
"Broward County, Florida",1926205,32909,966496,40.4%
"Calhoun County, Florida",14362,19304,4815,41.6%
"Charlotte County, Florida",181067,32144,62286,59.1%
"Citrus County, Florida",145169,26989,46529,56.5%
"Clay County, Florida",211405,30483,96866,39.7%
"Collier County, Florida",371453,45567,158452,50.8%
"Columbia County, Florida",69968,24275,26530,40.4%
"DeSoto County, Florida",36903,18503,13571,40.9%
"Dixie County, Florida",16589,21144,5143,46.5%
"Duval County, Florida",936186,31327,453177,36.2%
"Escambia County, Florida",313491,28022,136650,37.2%
"Flagler County, Florida",109801,29383,43163,51.3%
"Franklin County, Florida",11811,26574,4268,46.4%
"Gadsden County, Florida",45945,20734,16813,40.8%
"Gilchrist County, Florida",17953,21578,6698,42.1%
"Glades County, Florida",13516,21953,3842,47.9%
"Gulf County, Florida",15576,23252,5750,44.9%
"Hamilton County, Florida",14326,16136,3770,40.9%
"Hardee County, Florida",27131,17754,9752,35.4%
"Hendry County, Florida",40732,19167,17749,34%
"Hernando County, Florida",186313,25860,68907,49%
"Highlands County, Florida",103437,25752,33555,53.5%
"Hillsborough County, Florida",1422278,32343,696246,37.2%
"Holmes County, Florida",19432,19201,6849,42.7%
"Indian River County, Florida",153989,36516,58626,53.5%
"Jackson County, Florida",47945,20019,16690,41.7%
"Jefferson County, Florida",14161,24510,5107,48%
"Lafayette County, Florida",8637,20776,2481,37.3%
"Lake County, Florida",345867,28348,141998,46.9%
"Lee County, Florida",737468,33543,308959,48.5%
"Leon County, Florida",289770,30586,146627,31%
"Levy County, Florida",40403,21579,15416,46.9%
"Liberty County, Florida",8345,17872,2323,40.7%
"Madison County, Florida",18460,19510,6314,43.5%
"Manatee County, Florida",384213,33853,162556,48.3%
"Marion County, Florida",353526,25839,125900,48.7%
"Martin County, Florida",159065,42199,65826,52.2%
"Miami-Dade County, Florida",2699428,28224,1310482,39.9%
"Monroe County, Florida",75798,46028,40056,47.7%
"Nassau County, Florida",83098,36553,37539,45.3%
"Okaloosa County, Florida",203794,33019,89111,36.9%
"Okeechobee County, Florida",41144,21367,15304,41.1%
"Orange County, Florida",1349746,30456,688631,35.1%
"Osceola County, Florida",351955,22196,165008,35.9%
"Palm Beach County, Florida",1465027,39933,684112,44.8%
"Pasco County, Florida",524602,29001,218061,44.5%
"Pinellas County, Florida",964666,35196,453031,48.1%
"Polk County, Florida",686218,24864,285305,40.2%
"Putnam County, Florida",73252,20915,25868,45.1%
"St. Johns County, Florida",244674,43194,112316,43.7%
"St. Lucie County, Florida",312947,27121,132350,45.1%
"Santa Rosa County, Florida",174755,31691,75427,39.9%
"Sarasota County, Florida",419496,41081,170059,56.1%
"Seminole County, Florida",461402,35175,232498,39.2%
"Sumter County, Florida",125044,35560,25261,67.4%
"Suwannee County, Florida",44046,22808,16778,43.3%
"Taylor County, Florida",21870,17391,6426,42%
"Union County, Florida",15303,17010,3671,39.3%
"Volusia County, Florida",536487,28517,226928,46.6%
"Wakulla County, Florida",32321,25733,13623,40.6%
"Walton County, Florida",68262,34475,30611,44%
"Washington County, Florida",24764,18401,8481,41.5%
"Appling County, Georgia",18440,21300,7174,40.3%
"Atkinson County, Georgia",8239,20338,3256,36.4%
"Bacon County, Georgia",11201,20326,4108,36.7%
"Baker County, Georgia",3132,22525,1092,46.1%
"Baldwin County, Georgia",45111,21716,18464,35.5%
"Banks County, Georgia",18708,21403,7713,41.1%
"Barrow County, Georgia",78991,25266,37291,35.7%
"Bartow County, Georgia",104919,26493,48127,38.1%
"Ben Hill County, Georgia",17033,17774,6130,39.9%
"Berrien County, Georgia",19152,19547,7370,39.6%
"Bibb County, Georgia",153200,25640,63504,36.4%
"Bleckley County, Georgia",12807,20458,4535,35.8%
"Brantley County, Georgia",18756,20191,6769,41.1%
"Brooks County, Georgia",15590,25700,6074,42%
"Bryan County, Georgia",37063,31623,16208,34.6%
"Bulloch County, Georgia",76120,22328,34290,28.8%
"Burke County, Georgia",22520,22173,9366,37.4%
"Butts County, Georgia",24090,27195,9503,38.6%
"Calhoun County, Georgia",6365,14005,1677,39.6%
"Camden County, Georgia",53231,29741,21519,32.8%
"Candler County, Georgia",10812,20687,4389,38.7%
"Carroll County, Georgia",117183,24993,53011,34.8%
"Catoosa County, Georgia",66700,27308,31272,40.4%
"Charlton County, Georgia",13040,18323,4109,41.2%
"Chatham County, Georgia",288496,32229,138578,35.6%
"Chattahoochee County, Georgia",10560,23769,2219,24.5%
"Chattooga County, Georgia",24812,18715,9098,39.4%
"Cherokee County, Georgia",247515,36503,127265,38.7%
"Clarke County, Georgia",126176,23827,61423,28%
"Clay County, Georgia",2951,17036,916,49.8%
"Clayton County, Georgia",283538,20970,129683,32.5%
"Clinch County, Georgia",6686,15152,2232,39.9%
"Cobb County, Georgia",751218,40031,396869,36.7%
"Coffee County, Georgia",43021,19905,16896,36.3%
"Colquitt County, Georgia",45486,20529,18685,36.8%
"Columbia County, Georgia",150705,34579,68738,36.9%
"Cook County, Georgia",17177,20128,7128,37.3%
"Coweta County, Georgia",143260,33875,70819,39%
"Crawford County, Georgia",12325,23204,4707,44.4%
"Crisp County, Georgia",22713,22933,9049,38.5%
"Dade County, Georgia",16197,24000,7057,42.6%
"Dawson County, Georgia",24536,34239,12035,43.6%
"Decatur County, Georgia",26682,21568,10317,37.8%
"DeKalb County, Georgia",749323,36077,382970,35.8%
"Dodge County, Georgia",20829,20216,7878,41.8%
"Dooly County, Georgia",13736,22716,5089,43.2%
"Dougherty County, Georgia",89703,22059,34980,35.6%
"Douglas County, Georgia",143316,27743,69595,36.5%
"Early County, Georgia",10312,19026,3703,39.9%
"Echols County, Georgia",3981,23885,1758,40.6%
"Effingham County, Georgia",60477,31704,28887,36%
"Elbert County, Georgia",19166,22355,7769,42.6%
"Emanuel County, Georgia",22533,19389,8551,36.9%
"Evans County, Georgia",10687,20725,4400,37.6%
"Fannin County, Georgia",25395,27940,9998,52.1%
"Fayette County, Georgia",112303,44061,53105,43.4%
"Floyd County, Georgia",97369,25776,41723,38.3%
"Forsyth County, Georgia",228383,43832,115231,38.5%
"Franklin County, Georgia",22766,23187,9263,41.2%
"Fulton County, Georgia",1036200,47163,535127,35.5%
"Gilmer County, Georgia",30414,27282,13076,47.2%
"Glascock County, Georgia",2996,23541,1322,42.7%
"Glynn County, Georgia",84470,33848,39037,41.6%
"Gordon County, Georgia",57202,24092,26262,38.4%
"Grady County, Georgia",24828,22543,10520,40.3%
"Greene County, Georgia",17349,37818,6482,50.2%
"Gwinnett County, Georgia",915046,30636,459927,35.3%
"Habersham County, Georgia",44626,23046,18747,39.7%
"Hall County, Georgia",198667,29680,93448,36.7%
"Hancock County, Georgia",8515,16704,2152,45.6%
"Haralson County, Georgia",29227,25074,12814,40.4%
"Harris County, Georgia",34105,36273,15470,42.9%
"Hart County, Georgia",25773,23181,9819,44.1%
"Heard County, Georgia",11736,22714,5137,41.9%
"Henry County, Georgia",225356,29889,109797,36.9%
"Houston County, Georgia",153507,29462,71363,35.4%
"Irwin County, Georgia",9320,19878,3630,39.7%
"Jackson County, Georgia",67885,28915,31077,38.1%
"Jasper County, Georgia",13916,22814,5680,43%
"Jeff Davis County, Georgia",15036,17833,5309,36.6%
"Jefferson County, Georgia",15618,19259,5977,40%
"Jenkins County, Georgia",8793,15531,3319,44.3%
"Johnson County, Georgia",9691,21087,3958,41.8%
"Jones County, Georgia",28579,25854,12306,40.4%
"Lamar County, Georgia",18672,22413,6932,37.8%
"Lanier County, Georgia",10380,19207,3574,35.6%
"Laurens County, Georgia",47405,21665,17458,38.9%
"Lee County, Georgia",29502,29348,13314,37.2%
"Liberty County, Georgia",61349,22811,22248,28.4%
"Lincoln County, Georgia",7856,26918,3289,47.1%
"Long County, Georgia",18692,22639,6546,32.9%
"Lowndes County, Georgia",115364,23348,47834,30.5%
"Lumpkin County, Georgia",32402,27155,15740,37%
"McDuffie County, Georgia",21455,21625,8481,37.7%
"McIntosh County, Georgia",14174,26892,6069,49.4%
"Macon County, Georgia",13305,17883,4416,40.3%
"Madison County, Georgia",29218,24511,12821,41.1%
"Marion County, Georgia",8432,22541,3218,44.6%
"Meriwether County, Georgia",21106,21038,8071,42.3%
"Miller County, Georgia",5787,23870,2426,43.5%
"Mitchell County, Georgia",22244,18619,8288,39%
"Monroe County, Georgia",27171,33290,11331,42.9%
"Montgomery County, Georgia",9058,22477,3532,40%
"Morgan County, Georgia",18507,33571,8432,44.6%
"Murray County, Georgia",39724,21989,17531,38.2%
"Muscogee County, Georgia",195739,26097,77701,34%
"Newton County, Georgia",108079,25247,48967,36.4%
"Oconee County, Georgia",38132,44336,18706,40.4%
"Oglethorpe County, Georgia",14931,23523,6518,42.4%
"Paulding County, Georgia",159825,27979,78024,36%
"Peach County, Georgia",27145,24486,10625,37.9%
"Pickens County, Georgia",31387,31965,14170,45.4%
"Pierce County, Georgia",19250,22268,7535,39.4%
"Pike County, Georgia",18327,27639,8032,40.4%
"Polk County, Georgia",41908,23857,18213,37%
"Pulaski County, Georgia",11216,20746,3692,43.1%
"Putnam County, Georgia",21691,31504,9501,46.2%
"Quitman County, Georgia",2289,18639,817,47.3%
"Rabun County, Georgia",16645,28266,6150,49.2%
"Randolph County, Georgia",6973,16691,2397,41%
"Richmond County, Georgia",201852,22787,82032,34.1%
"Rockdale County, Georgia",89717,28320,40693,38.1%
"Schley County, Georgia",5221,20965,2245,37.8%
"Screven County, Georgia",13989,22213,5473,41.4%
"Seminole County, Georgia",8321,29614,2967,44.9%
"Spalding County, Georgia",65306,24582,26767,39.2%
"Stephens County, Georgia",25750,23546,10507,41.8%
"Stewart County, Georgia",6293,16705,1485,35.4%
"Sumter County, Georgia",30064,20654,11813,35.7%
"Talbot County, Georgia",6321,21357,2590,50.1%
"Taliaferro County, Georgia",1611,21416,598,44.2%
"Tattnall County, Georgia",25382,18319,7974,37.3%
"Taylor County, Georgia",8116,21298,3090,45.2%
"Telfair County, Georgia",16035,17202,5055,41.5%
"Terrell County, Georgia",8737,20045,3356,41.1%
"Thomas County, Georgia",44630,27454,19498,40.4%
"Tift County, Georgia",40541,22974,18424,36.2%
"Toombs County, Georgia",26972,24399,10475,36.4%
"Towns County, Georgia",11617,25972,4438,54%
"Treutlen County, Georgia",6795,21830,2443,40.1%
"Troup County, Georgia",69919,23124,29625,36.4%
"Turner County, Georgia",7943,19527,3100,40.3%
"Twiggs County, Georgia",8229,20979,2895,45.7%
"Union County, Georgia",23288,28953,8606,54.3%
"Upson County, Georgia",26236,21747,10270,42.1%
"Walker County, Georgia",69039,24247,29880,41.4%
"Walton County, Georgia",91442,27889,41903,38.7%
"Ware County, Georgia",35593,20411,13292,39.5%
"Warren County, Georgia",5297,23448,2115,45.1%
"Washington County, Georgia",20436,20303,7341,41.5%
"Wayne County, Georgia",29788,21090,10919,38.9%
